year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,fire_on_peatlands_hectares
"2015","INDONESIA","ID","LOMBOK TIMUR","ID-5203","NUSA TENGGARA BARAT","ID-52","0"
"2015","INDONESIA","ID","LUBUK LINGGAU (KOTA)","ID-1674","SUMATERA SELATAN","ID-16","0"
"2015","INDONESIA","ID","LUMAJANG","ID-3508","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","LUWU","ID-7317","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","LUWU TIMUR","ID-7325","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","LUWU UTARA","ID-7322","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","MADIUN","ID-3519","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","MAGELANG","ID-3308","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","MAGETAN","ID-3520","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","MAHAKAM ULU","ID-6411","KALIMANTAN TIMUR","ID-64","0"
"2015","INDONESIA","ID","MAJALENGKA","ID-3210","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","MAJENE","ID-7601","SULAWESI BARAT","ID-76","0"
"2015","INDONESIA","ID","MAKASSAR (KOTA)","ID-7371","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","MALAKA","ID-5321","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","MALANG","ID-3507","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","MALANG (KOTA)","ID-3573","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","MALINAU","ID-6501","KALIMANTAN UTARA","ID-65","0"
"2015","INDONESIA","ID","MALUKU BARAT DAYA","ID-8108","MALUKU","ID-81","0"
"2015","INDONESIA","ID","MALUKU TENGAH","ID-8103","MALUKU","ID-81","0"
"2015","INDONESIA","ID","MALUKU TENGGARA","ID-8102","MALUKU","ID-81","0"
"2015","INDONESIA","ID","MALUKU TENGGARA BARAT","ID-8101","MALUKU","ID-81","0"
"2015","INDONESIA","ID","MAMASA","ID-7603","SULAWESI BARAT","ID-76","0"
"2015","INDONESIA","ID","MAMBERAMO RAYA","ID-9428","PAPUA","ID-94","0"
"2015","INDONESIA","ID","MAMBERAMO TENGAH","ID-9431","PAPUA","ID-94","0"
"2015","INDONESIA","ID","MAMUJU","ID-7604","SULAWESI BARAT","ID-76","0"
"2015","INDONESIA","ID","MAMUJU TENGAH","ID-7606","SULAWESI BARAT","ID-76","0"
"2015","INDONESIA","ID","MAMUJU UTARA","ID-7605","SULAWESI BARAT","ID-76","0"
"2015","INDONESIA","ID","MANADO (KOTA)","ID-7171","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","MANDAILING NATAL","ID-1202","SUMATERA UTARA","ID-12","301.220117647066"
"2015","INDONESIA","ID","MANGGARAI","ID-5313","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","MANGGARAI BARAT","ID-5315","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","MANGGARAI TIMUR","ID-5319","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","MANOKWARI","ID-9105","PAPUA BARAT","ID-91","0"
"2015","INDONESIA","ID","MANOKWARI SELATAN","ID-9111","PAPUA BARAT","ID-91","0"
"2015","INDONESIA","ID","MAPPI","ID-9414","PAPUA","ID-94","9564.14329412354"
"2015","INDONESIA","ID","MAROS","ID-7308","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","MAYBRAT","ID-9110","PAPUA BARAT","ID-91","0"
"2015","INDONESIA","ID","MEDAN (KOTA)","ID-1275","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","MELAWI","ID-6110","KALIMANTAN BARAT","ID-61","61.7604705882363"
"2015","INDONESIA","ID","MEMPAWAH","ID-6104","KALIMANTAN BARAT","ID-61","122.146588235295"
"2015","INDONESIA","ID","MERANGIN","ID-1502","JAMBI","ID-15","121.531764705883"
"2015","INDONESIA","ID","MERAUKE","ID-9401","PAPUA","ID-94","7301.59623529708"
