year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,burned_areas_hectares
"2015","INDONESIA","ID","LAMPUNG TIMUR","ID-1804","LAMPUNG","ID-18","42856.8532941498"
"2015","INDONESIA","ID","LAMPUNG UTARA","ID-1806","LAMPUNG","ID-18","87.7500000000021"
"2015","INDONESIA","ID","LANDAK","ID-6103","KALIMANTAN BARAT","ID-61","93.0702352941185"
"2015","INDONESIA","ID","LANGKAT","ID-1213","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","LANGSA (KOTA)","ID-1173","ACEH","ID-11","0"
"2015","INDONESIA","ID","LANNY JAYA","ID-9430","PAPUA","ID-94","192.958588235297"
"2015","INDONESIA","ID","LEBAK","ID-3602","BANTEN","ID-36","117.720000000003"
"2015","INDONESIA","ID","LEBONG","ID-1707","BENGKULU","ID-17","20.7"
"2015","INDONESIA","ID","LEMBATA","ID-5308","NUSA TENGGARA TIMUR","ID-53","7291.71352941139"
"2015","INDONESIA","ID","LHOKSEUMAWE (KOTA)","ID-1174","ACEH","ID-11","0"
"2015","INDONESIA","ID","LIMAPULUHKOTA","ID-1308","SUMATERA BARAT","ID-13","421.095529411773"
"2015","INDONESIA","ID","LINGGA","ID-2104","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","LOMBOK BARAT","ID-5201","NUSA TENGGARA BARAT","ID-52","76.5900000000016"
"2015","INDONESIA","ID","LOMBOK TENGAH","ID-5202","NUSA TENGGARA BARAT","ID-52","0"
"2015","INDONESIA","ID","LOMBOK TIMUR","ID-5203","NUSA TENGGARA BARAT","ID-52","1274.64670588232"
"2015","INDONESIA","ID","LUBUK LINGGAU (KOTA)","ID-1674","SUMATERA SELATAN","ID-16","0"
"2015","INDONESIA","ID","LUMAJANG","ID-3508","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","LUWU","ID-7317","SULAWESI SELATAN","ID-73","45.9"
"2015","INDONESIA","ID","LUWU TIMUR","ID-7325","SULAWESI SELATAN","ID-73","2033.5122352942"
"2015","INDONESIA","ID","LUWU UTARA","ID-7322","SULAWESI SELATAN","ID-73","1197.66282352938"
"2015","INDONESIA","ID","MADIUN","ID-3519","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","MAGELANG","ID-3308","JAWA TENGAH","ID-33","902.738470588259"
"2015","INDONESIA","ID","MAGETAN","ID-3520","JAWA TIMUR","ID-35","96.1104705882364"
"2015","INDONESIA","ID","MAHAKAM ULU","ID-6411","KALIMANTAN TIMUR","ID-64","228.766588235302"
"2015","INDONESIA","ID","MAJALENGKA","ID-3210","JAWA BARAT","ID-32","528.678000000013"
"2015","INDONESIA","ID","MAJENE","ID-7601","SULAWESI BARAT","ID-76","1183.79152941176"
"2015","INDONESIA","ID","MAKASSAR (KOTA)","ID-7371","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","MALAKA","ID-5321","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","MALANG","ID-3507","JAWA TIMUR","ID-35","708.546705882369"
"2015","INDONESIA","ID","MALANG (KOTA)","ID-3573","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","MALINAU","ID-6501","KALIMANTAN UTARA","ID-65","0"
